City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,prince rupert,54.3161,-130.3201,14.05,94,20,1.03,CA,1690258733
291,sterling,39.0062,-77.4286,25.0,87,75,3.09,US,1690258250
292,miles city,46.4083,-105.8406,32.54,22,0,7.2,US,1690258734
293,bubaque,11.2833,-15.8333,26.21,84,100,3.5,GW,1690258183
294,cranbrook,49.4999,-115.7688,25.91,24,75,4.63,CA,1690258735
295,fortuna,40.5982,-124.1573,17.18,90,0,3.6,US,1690258735
296,hamilton,39.1834,-84.5333,22.0,92,0,2.06,US,1690258735
297,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,1690258152
298,lavrio,37.7145,24.0565,30.69,53,0,2.37,GR,1690258736
299,taulaga,-11.0553,-171.0883,28.04,73,74,8.73,AS,1690258737
300,meadow lake,34.8014,-106.5436,30.71,24,24,2.79,US,1690258737
301,northbridge,42.1515,-71.6495,22.08,88,11,2.3,US,1690258738
302,masterton,-40.9597,175.6575,13.27,83,81,0.84,NZ,1690258738
303,al hufuf,25.3646,49.5653,32.19,14,0,3.09,SA,1690258739
304,ust'-ilimsk,58.0006,102.6619,23.43,60,94,2.93,RU,1690258739
305,ambovombe,-25.1667,46.0833,14.9,90,1,3.35,MG,1690258740
306,klintsy,52.7602,32.2393,16.98,94,100,3.12,RU,1690258740
307,cabedelo,-6.9811,-34.8339,23.37,83,28,5.56,BR,1690258592
308,gazojak,41.1875,61.4036,37.69,14,0,4.36,TM,1690258490
309,voznesensk,47.5649,31.3308,22.32,79,38,4.51,UA,1690258742
310,urangan,-25.3,152.9,20.29,63,4,9.4,AU,1690258742
311,sao vicente,-23.9631,-46.3919,24.04,26,8,1.4,BR,1690258496
312,nagqu,31.5,92.0,7.56,81,100,1.96,CN,1690258475
313,longboat key,27.4125,-82.659,29.02,62,0,2.57,US,1690258743
314,kashgar,39.4547,75.9797,27.56,36,0,3.0,CN,1690258542
315,port saint john's,-31.6229,29.5448,12.07,72,0,2.67,ZA,1690258202
